GEO
1;16,47;96,10
2;16,52;94,88
3;20,11;92,63
4;22,41;93,29
5;25,18;97,31
6;22,03;96,12
7;20,55;97,08
8;17,24;96,22
9;16,33;97,41
10;14,12;98,05
11;16,59;97,33
12;21,48;95,62
13;19,37;97,19
14;20,15;94,61
15;18,72;95,44
16;17,91;96,88
17;23,04;93,77
18;24,55;97,02
19;21,66;94,12
20;15,88;96,74
21;16,92;97,55
22;19,44;95,33
23;22,77;96,11
24;25,01;97,88
25;23,66;94,92
26;18,33;96,41
27;17,12;95,77
28;20,88;97,44
29;21,33;93,55
30;24,12;96,66
31;15,44;97,12
32;16,77;98,01
33;19,88;94,77
34;22,55;95,44
35;23,91;97,33
36;25,44;96,12
37;18,11;95,22
38;17,55;96,33
39;20,33;97,66
40;21,77;94,88
41;24,33;95,99
42;15,99;96,55
43;16,33;97,22
44;19,55;95,88
45;22,11;96,44
46;23,44;97,11
47;25,22;94,55
48;18,66;96,77
49;17,33;95,44
50;20,55;97,88
51;21,22;93,66
52;24,77;96,33
53;15,55;97,44
54;16,88;98,22
55;19,22;94,66
56;22,33;95,55
57;23,77;97,44
58;25,11;96,22
59;18,22;95,11
60;17,66;96,55
61;20,22;97,33
62;21,55;94,77
63;24,22;95,88
64;15,88;96,33
65;16,44;97,11
66;19,33;95,77
67;22,22;96,55
68;23,55;97,22
69;25,33;94,66
70;18,44;96,66
71;17,22;95,33
72;20,66;97,55
73;21,44;93,88
74;24,55;96,44
75;15,66;97,22
76;16,99;98,11
77;19,11;94,55
78;22,44;95,66
79;23,88;97,55
80;25,22;96,33
