GEO
1;-83,53;62,49
2;-75,36;103,45
3;-85,24;-59,47
4;30,57;89,46
5;16,29;-175,59
6;60,17;125,32
7;-56,29;-55,17
8;15,53;-157,55
9;9,36;-91,25
10;47,59;-80,38
11;-64,13;-141,55
12;-75,35;-34,49
13;2,21;-121,17
14;12,11;-99,12
15;74,39;164,50
16;19,49;-34,51
17;-50,56;-46,03
18;-78,23;39,41
19;-45,32;-58,37
20;72,38;-49,06
21;-27,25;17,10
22;51,34;129,55
23;-72,58;-30,38
24;44,44;89,41
25;15,24;95,29
26;34,20;159,11
27;-20,12;111,23
28;34,37;-54,17
29;52,34;-9,32
30;-47,20;74,39
31;-31,40;-29,35
32;84,33;-140,59
33;78,53;-118,03
34;-4,51;118,19
35;43,23;142,22
36;-68,04;12,03
37;-20,57;-76,37
38;-19,18;-113,20
39;56,29;-62,02
40;-84,42;101,34
41;31,47;1,28
42;58,10;-120,00
43;0,56;-37,47
44;71,60;-90,39
45;-62,37;41,13
46;-43,46;122,15
47;59,18;128,11
48;15,60;74,28
49;73,11;6,34
50;-19,03;-82,38
51;-3,18;59,02
52;-68,58;-84,02
53;-58,52;175,59
54;-52,48;-46,09
55;71,39;92,01
56;-58,11;136,15
57;81,31;-13,08
58;55,13;-171,07
59;-30,31;10,41
60;-26,34;154,33
61;80,29;-67,41
62;-43,08;20,47
63;-65,52;-168,43
64;69,52;2,11
65;46,18;80,56
66;56,35;-160,30
67;4,05;-132,28
68;59,48;-27,08
69;-80,59;-152,39
70;10,14;-54,17
71;30,60;-141,15
72;-43,35;105,35
73;27,42;52,06
74;43,53;-135,34
75;-48,14;4,16
76;-83,49;-120,25
77;-22,46;50,51
78;38,09;-124,09
79;-80,56;-10,36
80;46,14;134,02
81;-39,33;-74,57
82;11,12;78,06
83;-22,15;-107,57
84;-83,38;-131,25
85;26,57;135,50
86;19,56;-64,09
87;55,59;-123,54
88;-86,47;49,10
89;57,45;-90,32
90;48,40;115,54
91;-66,48;141,29
92;-87,14;65,31
93;28,05;-154,05
94;51,36;-149,35
95;42,42;-17,35
96;-6,53;-156,05
97;19,13;80,41
98;-15,32;-6,43
99;41,28;-130,36
100;-59,55;-106,43
101;-5,50;148,54
102;71,13;-80,18
103;49,33;79,27
104;82,49;-32,47
105;81,04;136,54
106;16,50;-56,33
107;3,20;-51,13
108;-10,20;-17,40
109;2,43;-66,30
110;2,29;-30,58
111;70,11;-54,49
112;80,20;74,28
113;-70,34;-18,16
