GEO
1;-86,41;-128,01
2;82,49;165,35
3;30,26;-164,48
4;-36,59;-45,56
5;-8,50;30,14
6;69,19;113,24
7;52,48;-105,26
8;76,57;-143,20
9;-85,24;-148,19
10;15,06;-173,08
11;-19,23;70,51
12;18,22;86,41
13;-85,10;-94,47
14;83,44;-121,35
15;-11,13;62,44
16;61,44;-175,14
17;-83,07;117,05
18;-29,23;114,54
19;46,46;-67,08
20;65,54;-69,54
21;-50,13;-173,35
22;-47,13;84,12
23;64,29;-155,06
24;5,26;-154,13
25;-80,03;58,29
26;-31,09;174,32
27;-36,24;24,08
28;-22,49;-126,41
29;-49,39;171,18
30;-59,44;94,52
31;-5,23;94,14
32;-87,50;117,23
33;66,22;11,04
34;-23,53;-109,28
35;78,01;38,27
36;-2,57;-29,16
37;-13,19;-116,36
38;45,57;39,57
39;-85,01;-173,06
40;-88,29;-176,06
